,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,MOT Expires,Ultra Low Emission Zone  ,Tax,Price,Previous Keepers
49,500,Petrol,1.2L,Manual,"29,518 miles",3,68 bhp,2018 (68),49.6,Hatchback,115 g/km,RED,,Euro 6,£199,"£8,500",1.0
50,500,Petrol,1.2L,Manual,"31,049 miles",3,68 bhp,2018 (18),49.6,Hatchback,115 g/km,Tech House Grey pastel,19-08-2022,Euro 6,£199,"£8,500",1.0
51,500,Petrol,1.2L,Manual,"24,750 miles",3,69 bhp,2017 (67),60.1,Hatchback,110 g/km,RED,,Euro 6,£199,"£8,400",1.0
52,500,Petrol,1.2L,Manual,"14,053 miles",3,69 bhp,2016 (66),60.1,Hatchback,110 g/km,BLACK,06-04-2022,Euro 6,£199,"£8,400",2.0
53,500,Petrol,1.2L,Manual,"19,401 miles",3,69 bhp,2018 (18),60.1,Hatchback,110 g/km,GREY,30-05-2022,Euro 6,£199,"£8,400",1.0
54,500,Petrol,1.2L,Automatic,"53,921 miles",3,69 bhp,2016 (65),62.8,Hatchback,105 g/km,GREEN,15-02-2022,Euro 6,£199,"£8,400",1.0
55,500,Petrol,1.2L,Manual,"15,415 miles",3,68 bhp,2018 (68),57.6,Hatchback,115 g/km,RED,27-09-2022,Euro 6,£199,"£8,300",1.0
56,500,Petrol,1.2L,Manual,"30,558 miles",3,69 bhp,2018 (18),60.1,Hatchback,110 g/km,RED,26-08-2022,Euro 6,£199,"£8,300",2.0
57,500,Petrol,1.2L,Manual,"33,173 miles",3,69 bhp,2017 (67),60.1,Hatchback,110 g/km,RED,14-11-2021,Euro 6,£199,"£8,200",2.0
58,500,Petrol,1.2L,Manual,"26,339 miles",3,69 bhp,2017 (67),60.1,Hatchback,110 g/km,GREEN,,Euro 6,£199,"£8,000",1.0
59,500,Petrol,1.2L,Manual,"38,114 miles",3,69 bhp,2017 (67),60.1,Hatchback,110 g/km,GREEN,28-09-2022,Euro 6,£199,"£8,000",
60,500,Petrol,1.2L,Manual,"32,713 miles",3,69 bhp,2017 (67),60.1,Hatchback,110 g/km,GREY,29-12-2021,Euro 6,£199,"£8,000",2.0
61,500,Petrol,0.9L,Manual,"16,247 miles",3,85 bhp,2016 (66),74.3,Hatchback,90 g/km,YELLOW,04-10-2022,Euro 6,£199,"£7,700",1.0
62,500,Petrol,1.2L,Manual,"41,082 miles",3,69 bhp,2016 (66),60.1,Hatchback,110 g/km,Crossover Black metallic,20-12-2021,Euro 6,£199,"£7,600",2.0
63,500,Petrol,1.2L,Automatic,"59,854 miles",3,69 bhp,2015 (65),61.4,Hatchback,108 g/km,BEIGE,03-07-2022,Euro 6,£199,"£7,500",2.0
64,500,Petrol,1.2L,Manual,"27,179 miles",3,69 bhp,2015 (65),60.1,Hatchback,110 g/km,RED,30-12-2021,Euro 6,£199,"£7,400",
65,500,Petrol,1.2L,Manual,"40,209 miles",3,69 bhp,2016 (16),60.1,Hatchback,110 g/km,GREEN,19-04-2022,Euro 6,£199,"£7,100",2.0
66,500,Petrol,1.2L,Manual,"31,172 miles",3,69 bhp,2015 (65),60.1,Hatchback,110 g/km,GREEN,28-11-2021,Euro 6,£199,"£7,000",2.0
67,500,Petrol,0.9L,Manual,"44,049 miles",3,85 bhp,2015 (65),70.6,Hatchback,92 g/km,GREY,18-03-2022,Euro 6,£199,"£6,900",2.0
68,500,Petrol,1.2L,Manual,"42,945 miles",3,69 bhp,2016 (16),60.1,Hatchback,110 g/km,GREEN,01-07-2022,Euro 6,£199,"£6,900",2.0
69,500,Petrol,1.2L,Manual,"9,896 miles",3,69 bhp,2016 (65),60.1,Hatchback,110 g/km,WHITE,25-02-2022,Euro 6,£199,"£6,800",1.0
70,500,Petrol,1.2L,Manual,"45,012 miles",3,69 bhp,2016 (16),60.1,Hatchback,110 g/km,GREEN,17-02-2022,Euro 6,£199,"£6,000",
71,500,Petrol,1.2L,Manual,"53,881 miles",3,69 bhp,2017 (66),60.1,Hatchback,110 g/km,WHITE,12-12-2021,Euro 6,£199,"£5,900",1.0
