,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,MOT Expires,Euro Status
280,Cla Class,Diesel,2.1L,Automatic,"57,895 miles",4,174 bhp,2016 (66),58.9,Saloon,123 g/km,BLACK,2.0,Euro 6,£199,"£20,200",28-11-2021,
281,C Class,Diesel,1.6L,Automatic,"14,075 miles",4,136 bhp,2016 (66),64.2,Saloon,114 g/km,SILVER,1.0,Euro 6,£199,"£20,200",29-09-2021,
282,Gla Class,Diesel,2.1L,Automatic,"56,565 miles",5,134 bhp,2017 (17),67.3,Estate,108 g/km,WHITE,1.0,Euro 6,£199,"£20,200",10-01-2022,
283,Cla Class,Petrol,1.6L,Manual,"35,245 miles",4,121 bhp,2018 (68),51.4,Saloon,152 g/km,WHITE,1.0,Euro 6,£199,"£20,200",27-09-2022,
284,Gla Class,Diesel,2.1L,Automatic,"31,006 miles",5,134 bhp,2017 (17),64.2,Estate,115 g/km,WHITE,2.0,Euro 6,£199,"£20,200",03-11-2022,
285,CLS,Diesel,2.1L,Automatic,"42,902 miles",4,174 bhp,2016 (16),57.7,Coupe,128 g/km,RED,2.0,Euro 6,£199,"£20,200",12-12-2021,
286,Gla Class,Petrol,2.0L,Automatic,"72,419 miles",5,211 bhp,2015 (15),42.8,Estate,154 g/km,BLACK,2.0,Euro 6,£199,"£20,100",05-07-2022,
287,Cla Class,Petrol,1.6L,Manual,"25,158 miles",4,121 bhp,2018 (18),51.4,Saloon,152 g/km,SILVER,1.0,Euro 6,£199,"£20,100",30-07-2022,
288,A Class,Diesel,2.1L,Automatic,"29,335 miles",5,134 bhp,2017 (17),68.9,Hatchback,108 g/km,WHITE,2.0,Euro 6,£199,"£20,100",,
289,C Class,Diesel,2.1L,Automatic,"57,366 miles",4,170 bhp,2018 (67),61.4,Saloon,117 g/km,BLACK,2.0,Euro 6,£199,"£20,100",28-02-2022,
290,Cla Class,Diesel,2.1L,Automatic,"56,557 miles",5,134 bhp,2018 (18),68.9,Estate,106 g/km,WHITE,,Euro 6,£199,"£20,100",18-03-2022,
291,A Class,Petrol,2.0L,Automatic,"50,880 miles",5,221 bhp,2018 (68),45.6,Hatchback,141 g/km,RED,1.0,Euro 6,£199,"£20,000",,
292,C Class,Diesel,2.1L,Automatic,"45,083 miles",4,170 bhp,2017 (17),64.2,Saloon,113 g/km,SILVER,,Euro 6,£199,"£20,000",08-07-2022,
293,C Class,Petrol,2.0L,Automatic,"23,681 miles",4,184 bhp,2017 (66),52.3,Saloon,124 g/km,SILVER,2.0,Euro 6,£199,"£20,000",12-01-2022,
294,Gla Class,Diesel,2.1L,Automatic,"30,415 miles",5,134 bhp,2016 (16),56.5,Estate,130 g/km,WHITE,2.0,Euro 6,£199,"£20,000",31-08-2022,
295,C Class,Diesel,2.0L,Automatic,"27,374 miles",4,191 bhp,2018 (68),61.4,Saloon,121 g/km,BLUE,2.0,Euro 6,£199,"£20,000",,
296,Gla Class,Diesel,2.1L,Manual,"19,676 miles",5,134 bhp,2017 (67),67.3,Estate,110 g/km,BLUE,1.0,Euro 6,£199,"£20,000",31-08-2022,
297,C Class,Diesel,2.1L,Automatic,"46,223 miles",2,168 bhp,2016 (16),68.9,Coupe,106 g/km,SILVER,,Euro 6,£199,"£20,000",04-02-2022,
298,A Class,Diesel,1.5L,Automatic,"21,308 miles",5,114 bhp,2018 (68),65.7,Hatchback,111 g/km,WHITE,1.0,Euro 6,£199,"£20,000",27-09-2022,
299,A Class,Diesel,2.1L,Automatic,"22,598 miles",5,134 bhp,2017 (17),68.9,Hatchback,108 g/km,GREEN,,Euro 6,£199,"£20,000",18-06-2022,
300,Gla Class,Diesel,2.1L,Automatic,"49,172 miles",5,174 bhp,2016 (16),56.5,Estate,130 g/km,BLACK,,Euro 6,£199,"£20,000",07-10-2022,
301,C Class,Diesel,2.1L,Automatic,"42,552 miles",5,170 bhp,2017 (17),60.1,Estate,120 g/km,BLUE,2.0,Euro 6,£199,"£20,000",30-03-2022,
302,A Class,Diesel,1.5L,Automatic,"38,258 miles",5,114 bhp,2018 (68),65.7,Hatchback,111 g/km,GREY,1.0,Euro 6,£199,"£20,000",,
303,C Class,Diesel,2.1L,Automatic,"59,632 miles",4,170 bhp,2016 (66),64.2,Saloon,113 g/km,SILVER,,Euro 6,£199,"£20,000",17-02-2022,
304,Gla Class,Petrol,1.6L,Manual,"39,253 miles",5,154 bhp,2018 (18),48.7,Estate,134 g/km,WHITE,1.0,Euro 6,£199,"£20,000",23-07-2022,
305,Gla Class,Diesel,2.1L,Automatic,"32,255 miles",5,174 bhp,2016 (16),56.5,Estate,130 g/km,SILVER,2.0,Euro 6,£199,"£20,000",21-03-2022,
306,Gla Class,Diesel,2.1L,Automatic,"50,469 miles",5,134 bhp,2017 (67),64.2,Estate,115 g/km,GREY,,Euro 6,£199,"£20,000",22-03-2022,
307,C Class,Diesel,2.1L,Automatic,"57,460 miles",4,170 bhp,2016 (66),64.2,Saloon,113 g/km,SILVER,2.0,Euro 6,£199,"£20,000",03-10-2022,
308,C Class,Diesel,2.1L,Automatic,"61,089 miles",4,170 bhp,2017 (67),61.4,Saloon,117 g/km,BLACK,2.0,Euro 6,£199,"£20,000",29-09-2022,
