,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,MOT Expires,Euro Status
535,A Class,Diesel,2.1L,Manual,"47,139 miles",5,134 bhp,2016 (16),62.8,Hatchback,116 g/km,BLUE,,Euro 6,£199,"£15,100",22-06-2022,
536,A Class,Diesel,2.1L,Automatic,"75,940 miles",5,174 bhp,2016 (16),67.3,Hatchback,109 g/km,BLACK,1.0,Euro 6,£199,"£15,000",04-06-2022,
537,C Class,Diesel,2.1L,Manual,"62,554 miles",5,170 bhp,2017 (67),65.7,Estate,108 g/km,BLACK,1.0,Euro 6,£199,"£15,000",,
538,A Class,Diesel,1.5L,Manual,"45,340 miles",5,107 bhp,2017 (67),72.4,Hatchback,102 g/km,SILVER,2.0,Euro 6,£199,"£15,000",07-09-2022,
539,A Class,Diesel,1.5L,Manual,"61,736 miles",5,107 bhp,2018 (67),68.9,Hatchback,107 g/km,BLUE,2.0,Euro 6,£199,"£15,000",30-01-2022,
540,A Class,Diesel,1.5L,Automatic,"52,242 miles",5,107 bhp,2017 (17),76.4,Hatchback,98 g/km,WHITE,1.0,Euro 6,£199,"£15,000",15-06-2022,
541,A Class,Diesel,1.5L,Manual,"26,548 miles",5,107 bhp,2017 (17),72.4,Hatchback,102 g/km,WHITE,1.0,Euro 6,£199,"£15,000",,
542,A Class,Diesel,1.5L,Manual,"24,971 miles",5,107 bhp,2017 (17),72.4,Hatchback,102 g/km,SILVER,,Euro 6,£199,"£15,000",11-10-2021,
543,A Class,Diesel,1.5L,Manual,"34,024 miles",5,107 bhp,2017 (67),80.7,Hatchback,89 g/km,BLACK,1.0,Euro 6,£199,"£15,000",08-11-2021,
544,A Class,Diesel,1.5L,Manual,"45,126 miles",5,107 bhp,2016 (16),68.9,Hatchback,107 g/km,SILVER,2.0,Euro 6,£199,"£15,000",28-01-2022,
545,A Class,Diesel,1.5L,Manual,"43,371 miles",5,107 bhp,2017 (17),72.4,Hatchback,102 g/km,BLACK,1.0,Euro 6,£199,"£14,950",07-09-2022,
546,E Class,Diesel,2.1L,Automatic,"67,382 miles",4,174 bhp,2016 (16),61.4,Saloon,121 g/km,BLACK,2.0,Euro 6,£199,"£14,800",14-03-2022,
547,A Class,Diesel,1.5L,Manual,"38,813 miles",5,107 bhp,2016 (66),80.7,Hatchback,89 g/km,GREY,2.0,Euro 6,£199,"£14,800",,
548,A Class,Diesel,1.5L,Automatic,"54,249 miles",5,107 bhp,2016 (16),74.3,Hatchback,101 g/km,WHITE,1.0,Euro 6,£199,"£14,400",24-07-2022,
549,SLK,Diesel,2.1L,Automatic,"54,885 miles",2,201 bhp,2015 (65),70.6,Convertible,132 g/km,BLACK,2.0,Euro 6,£199,"£14,200",23-07-2022,
550,C Class,Diesel,1.6L,Manual,"44,891 miles",4,136 bhp,2016 (66),72.4,Saloon,102 g/km,BLACK,,Euro 6,£199,"£14,100",03-10-2021,
551,A Class,Diesel,2.1L,Manual,"36,838 miles",5,134 bhp,2016 (65),65.7,Hatchback,111 g/km,RED,,Euro 6,£199,"£14,000",25-06-2022,
552,A Class,Diesel,1.5L,Manual,"44,127 miles",5,107 bhp,2016 (16),72.4,Hatchback,102 g/km,BLACK,2.0,Euro 6,£199,"£14,000",16-12-2021,
553,A Class,Diesel,1.5L,Manual,"73,423 miles",5,107 bhp,2017 (67),68.9,Hatchback,107 g/km,WHITE,1.0,Euro 6,£199,"£14,000",27-09-2022,
554,A Class,Diesel,1.5L,Manual,"45,654 miles",5,107 bhp,2015 (65),72.4,Hatchback,102 g/km,BLUE,,Euro 6,£199,"£13,900",16-09-2022,
555,A Class,Diesel,1.5L,Automatic,"58,862 miles",5,107 bhp,2015 (65),74.3,Hatchback,101 g/km,SILVER,,Euro 6,£199,"£13,600",18-10-2022,
556,A Class,Diesel,1.5L,Manual,"70,644 miles",5,107 bhp,2016 (16),68.9,Hatchback,107 g/km,GREY,1.0,Euro 6,£199,"£13,500",13-10-2022,
557,A Class,Diesel,1.5L,Manual,"59,562 miles",5,107 bhp,2017 (17),80.7,Hatchback,89 g/km,RED,1.0,Euro 6,£199,"£13,000",28-08-2022,
558,SLK,Diesel,2.1L,Automatic,"65,190 miles",2,204 bhp,2015 (15),56.5,Convertible,132 g/km,BLACK,2.0,,£199,"£12,800",09-01-2022,Euro 5
559,A Class,Diesel,1.5L,Manual,"51,712 miles",5,109 bhp,2015 (15),70.6,Hatchback,105 g/km,BLACK,2.0,,£199,"£12,800",16-06-2022,Euro 5
560,A Class,Diesel,1.5L,Manual,"75,559 miles",5,107 bhp,2016 (16),80.7,Hatchback,89 g/km,GREY,2.0,Euro 6,£199,"£12,200",,
561,A Class,Diesel,2.1L,Manual,"83,403 miles",5,134 bhp,2016 (66),68.9,Hatchback,106 g/km,BLUE,1.0,Euro 6,£199,"£12,000",21-11-2021,
562,SLK,Diesel,2.1L,Automatic,"48,179 miles",2,204 bhp,2015 (15),56.5,Convertible,132 g/km,SILVER,,,£199,"£12,000",29-10-2021,Euro 5
563,A Class,Diesel,1.5L,Manual,"86,534 miles",5,107 bhp,2016 (66),80.7,Hatchback,89 g/km,BLACK,1.0,Euro 6,£199,"£11,700",05-09-2022,
564,SLK,Diesel,2.1L,Automatic,"54,826 miles",2,204 bhp,2014 (14),56.5,Convertible,132 g/km,BLACK,2.0,,£199,"£11,100",27-05-2022,Euro 5
565,B Class,Diesel,1.5L,Manual,"38,794 miles",5,107 bhp,2015 (15),68.9,MPV,108 g/km,SILVER,2.0,Euro 6,£199,"£10,400",12-07-2022,
