,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,Body Type,CO2,Colour,MPG,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,MOT Expires,Interior Trim
91,Mokka,Diesel,1.6L,Manual,"34,999 miles",5,134 bhp,2015 (65),Hatchback,114 g/km,BLUE,65.7,,Euro 6,£199,"£9,900",,
92,Corsa,Petrol,1.4L,Automatic,"36,401 miles",5,89 bhp,2016 (66),Hatchback,137 g/km,WHITE,47.9,2.0,Euro 6,£199,"£9,700",,
93,Astra,Diesel,1.6L,Manual,"45,425 miles",5,108 bhp,2016 (66),Hatchback,97 g/km,SILVER,76.4,2.0,Euro 6,£199,"£9,600",22-08-2022,
94,Astra,Diesel,1.6L,Manual,"33,004 miles",5,108 bhp,2016 (66),Hatchback,97 g/km,RED,76.4,2.0,Euro 6,£199,"£9,500",06-09-2022,
95,Adam,Petrol,1.2L,Manual,"18,344 miles",3,69 bhp,2019 (19),Hatchback,128 g/km,Black Jack metallic,44.8,,Euro 6,£199,"£9,500",,
96,Mokka,Petrol,1.4L,Manual,"39,366 miles",5,138 bhp,2015 (15),Hatchback,145 g/km,GREY,44.8,2.0,Euro 6,£199,"£9,300",30-03-2022,
97,Zafira,Petrol,1.4L,Manual,"59,811 miles",5,138 bhp,2015 (15),MPV,154 g/km,WHITE,42.8,1.0,Euro 5,£199,"£9,300",30-03-2022,
98,Corsa,Petrol,1.4L,Manual,"14,900 miles",3,74 bhp,2018 (67),Hatchback,118 g/km,GREY,55.4,1.0,Euro 6,£199,"£8,900",26-01-2022,
99,Adam,Petrol,1.2L,Manual,"24,815 miles",3,69 bhp,2018 (68),Hatchback,128 g/km,Saturday White Fever ,44.8,1.0,Euro 6,£199,"£8,750",,
100,Astra,Petrol,1.4L,Manual,"45,090 miles",5,99 bhp,2016 (16),Hatchback,128 g/km,WHITE,51.4,1.0,Euro 6,£199,"£8,700",07-05-2022,
101,Corsa,Petrol,1.4L,Manual,"22,489 miles",5,74 bhp,2017 (17),Hatchback,118 g/km,BLACK,55.4,1.0,Euro 6,£199,"£8,600",09-08-2022,
102,Corsa,Petrol,1.4L,Manual,"21,439 miles",5,74 bhp,2017 (17),Hatchback,118 g/km,GREY,55.4,1.0,Euro 6,£199,"£8,400",31-01-2022,
103,Corsa,Petrol,1.4L,Manual,"26,731 miles",3,89 bhp,2016 (66),Hatchback,118 g/km,BLUE,55.4,1.0,Euro 6,£199,"£8,400",16-10-2022,
104,Corsa,Petrol,1.4L,Manual,"31,715 miles",3,89 bhp,2017 (67),Hatchback,118 g/km,GREY,55.4,,Euro 6,£199,"£8,400",11-07-2022,
105,Astra,Diesel,1.6L,Manual,"81,240 miles",5,108 bhp,2017 (17),Hatchback,95 g/km,WHITE,78.5,1.0,Euro 6,£199,"£8,300",02-12-2021,
106,Corsa,Petrol,1.4L,Manual,"52,444 miles",3,89 bhp,2017 (66),Hatchback,120 g/km,BLACK,54.3,2.0,Euro 6,£199,"£8,100",03-12-2021,
107,Corsa,Petrol,1.4L,Manual,"29,499 miles",5,99 bhp,2017 (67),Hatchback,119 g/km,SILVER,55.4,2.0,Euro 6,£199,"£8,000",22-08-2022,
108,Adam,Petrol,1.2L,Manual,"31,311 miles",3,69 bhp,2015 (15),Hatchback,125 g/km,Saturday White Fever Brilliant,53.3,,Euro 5,£199,"£7,900",30-03-2022,
109,Corsa,Petrol,1.4L,Manual,"31,089 miles",3,74 bhp,2017 (67),Hatchback,118 g/km,WHITE,55.4,2.0,Euro 6,£199,"£7,800",12-10-2022,
110,Astra GTC,Petrol,1.4L,Manual,"39,579 miles",3,138 bhp,2015 (15),Hatchback,142 g/km,RED,47.1,,Euro 5,£199,"£7,750",05-05-2022,
111,Corsa,Petrol,1.4L,Manual,"41,196 miles",3,74 bhp,2018 (18),Hatchback,131 g/km,SILVER,43.5,2.0,Euro 6,£199,"£7,600",28-06-2022,
112,Corsa,Petrol,1.4L,Manual,"18,958 miles",5,89 bhp,2015 (15),Hatchback,120 g/km,RED,55.4,2.0,Euro 6,£199,"£7,600",10-12-2021,
113,Astra,Diesel,1.6L,Manual,"59,642 miles",5,108 bhp,2017 (17),Estate,89 g/km,BLUE,83.1,1.0,Euro 6,£199,"£7,600",02-08-2022,
114,Corsa,Diesel,1.2L,Manual,"44,565 miles",3,94 bhp,2016 (16),Hatchback,85 g/km,BLUE,88.3,2.0,Euro 6,£199,"£7,250",27-05-2022,
115,Adam,Petrol,1.2L,Manual,"41,436 miles",3,69 bhp,2016 (66),Hatchback,125 g/km,Let it Blue pearlescent,53.3,2.0,Euro 6,£199,"£7,200",21-09-2021,
116,Adam,Petrol,1.2L,Manual,"40,596 miles",3,69 bhp,2017 (67),Hatchback,125 g/km,BLUE,53.3,1.0,Euro 6,£199,"£7,100",31-08-2022,
117,Adam,Petrol,1.4L,Manual,"21,139 miles",3,98 bhp,2016 (16),Hatchback,125 g/km,RED N ROLE,53.3,,Euro 5,£199,"£7,000",29-06-2022,
118,Corsa,Petrol,1.4L,Manual,"42,203 miles",3,99 bhp,2015 (15),Hatchback,119 g/km,RED,55.4,1.0,Euro 6,£199,"£6,500",28-02-2022,
119,Corsa,Petrol,1.4L,Manual,"69,324 miles",3,74 bhp,2017 (67),Hatchback,118 g/km,GREY,55.4,2.0,Euro 6,£199,"£6,400",20-11-2021,
120,Corsa,Diesel,1.2L,Manual,"85,878 miles",5,74 bhp,2017 (67),Hatchback,104 g/km,GREY,72.4,1.0,Euro 6,£199,"£6,000",09-10-2022,
