,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Tax,Price,Body Type,CO2,MOT Expires
102,6 Series,Petrol,3.0L,Automatic,"25,397 miles",4,315 bhp,2015 (65),,£199,"£24,000",,,
103,X1,Diesel,2.0L,Automatic,"30,409 miles",5,148 bhp,2017 (67),,£199,"£23,900",,,
104,X1,Petrol,2.0L,Automatic,"36,593 miles",5,189 bhp,2018 (18),,£199,"£23,900",,,
105,3 Series,Petrol,2.0L,Automatic,"35,065 miles",5,181 bhp,2019 (19),,£199,"£23,800",,,
106,X3,Diesel,2.0L,Automatic,"49,077 miles",5,188 bhp,2016 (66),,£199,"£23,800",,,
107,X4,Diesel,2.0L,Automatic,"69,752 miles",4,188 bhp,2016 (66),,£199,"£23,700",,,
108,X1,Petrol,2.0L,Automatic,"40,628 miles",5,189 bhp,2018 (18),44.8,£199,"£23,700",,,
109,2 Series,Petrol,2.0L,Automatic,"26,516 miles",5,189 bhp,2019 (19),47.9,£199,"£23,600",,,
110,5 Series,Diesel,3.0L,Automatic,"73,879 miles",5,261 bhp,2017 (67),51.4,£199,"£23,600",,,
111,2 Series,Hybrid Petrol,1.5L,Automatic,"26,252 miles",5,,2018 (68),,£199,"£23,600",Hatchback,,27-09-2022
112,3 Series,Diesel,3.0L,Automatic,"49,061 miles",5,308 bhp,2017 (17),49.6,£199,"£23,500",,,
113,3 Series,Petrol,2.0L,Automatic,"27,044 miles",4,181 bhp,2018 (68),,£199,"£23,500",,,
114,6 Series,Diesel,3.0L,Automatic,"37,727 miles",2,308 bhp,2017 (17),,£199,"£23,500",,,
115,I3,Electric,,Automatic,"18,889 miles",5,168 bhp,2019 (19),1.0,£199,"£23,300",,,
116,X1,Diesel,2.0L,Automatic,"30,727 miles",5,188 bhp,2017 (17),,£199,"£23,300",,,
117,5 Series,Diesel,2.0L,Automatic,"48,882 miles",5,188 bhp,2018 (18),65.7,£199,"£23,300",,,
118,X4,Diesel,2.0L,Automatic,"50,951 miles",4,188 bhp,2015 (15),,£199,"£23,200",,,
119,2 Series,Petrol,1.5L,Automatic,"11,604 miles",5,134 bhp,2018 (18),53.3,£199,"£23,200",,,
120,4 Series,Petrol,2.0L,Automatic,"39,581 miles",4,248 bhp,2018 (18),,£199,"£23,100",,,
121,1 Series,Petrol,3.0L,Automatic,"44,961 miles",5,335 bhp,2018 (18),,£199,"£23,100",,,
122,X4,Diesel,2.0L,Automatic,"63,755 miles",4,188 bhp,2016 (66),,£199,"£23,100",,,
123,X1,Petrol,2.0L,Automatic,"38,104 miles",5,189 bhp,2018 (18),,£199,"£23,100",,,
124,5 Series,Diesel,2.0L,Automatic,"29,008 miles",4,188 bhp,2018 (68),,£199,"£23,000",,,
125,4 Series,Diesel,3.0L,Automatic,"35,769 miles",4,255 bhp,2017 (17),53.3,£199,"£23,000",,,
126,2 Series,Petrol,1.5L,Automatic,"21,370 miles",5,138 bhp,2018 (68),38.7,£199,"£23,000",,,
127,X2,Diesel,2.0L,Automatic,"40,145 miles",5,187 bhp,2018 (18),58.9,£199,"£23,000",,,
128,X1,Petrol,2.0L,Automatic,"32,468 miles",5,189 bhp,2018 (68),,£199,"£23,000",,,
129,2 Series,Hybrid Petrol,1.5L,Automatic,"14,547 miles",5,,2017 (67),,£199,"£22,900",Hatchback,49 g/km,
130,3 Series,Diesel,3.0L,Automatic,"51,879 miles",5,308 bhp,2017 (17),,£199,"£22,800",,,
131,X1,Diesel,2.0L,Automatic,"31,742 miles",5,148 bhp,2017 (67),,£199,"£22,800",,,
132,5 Series,Petrol,2.0L,Automatic,"36,584 miles",4,181 bhp,2019 (19),,£199,"£22,800",,,
133,3 Series,Diesel,3.0L,Automatic,"37,657 miles",4,308 bhp,2017 (17),,£199,"£22,800",,,
134,X4,Diesel,3.0L,Automatic,"57,123 miles",4,255 bhp,2016 (16),,£199,"£22,700",,,
135,X1,Diesel,2.0L,Manual,"25,674 miles",5,148 bhp,2018 (67),,£199,"£22,700",,,
136,4 Series,Diesel,2.0L,Automatic,"35,426 miles",2,188 bhp,2018 (68),65.7,£199,"£22,600",,,
137,5 Series,Diesel,2.0L,Automatic,"44,453 miles",4,188 bhp,2017 (67),,£199,"£22,600",,,
138,1 Series,Petrol,3.0L,Manual,"38,946 miles",5,335 bhp,2018 (18),,£199,"£22,500",,,
139,3 Series,Diesel,3.0L,Automatic,"39,993 miles",5,308 bhp,2015 (65),,£199,"£22,500",,,
140,5 Series,Diesel,2.0L,Automatic,"62,568 miles",5,188 bhp,2018 (68),,£199,"£22,500",,,
141,2 Series,Diesel,2.0L,Automatic,"17,431 miles",2,222 bhp,2018 (18),61.4,£199,"£22,500",,,
142,X1,Diesel,2.0L,Automatic,"47,241 miles",5,188 bhp,2017 (67),,£199,"£22,500",,,
143,2 Series,Petrol,1.5L,Automatic,"31,276 miles",5,134 bhp,2018 (18),53.3,£199,"£22,500",,,
144,4 Series,Diesel,2.0L,Automatic,"17,427 miles",4,188 bhp,2017 (17),65.7,£199,"£22,500",,,
145,5 Series,Diesel,2.0L,Automatic,"65,794 miles",5,188 bhp,2018 (18),,£199,"£22,500",,,
146,4 Series,Diesel,2.0L,Automatic,"48,728 miles",2,188 bhp,2018 (68),,£199,"£22,400",,,
147,X2,Diesel,2.0L,Automatic,,5,187 bhp,2018 (68),61.4,£199,"£22,400",Hatchback,,
148,3 Series,Diesel,2.0L,Automatic,"27,967 miles",4,188 bhp,2018 (68),,£199,"£22,400",,,
149,X2,Diesel,2.0L,Automatic,"56,271 miles",5,187 bhp,2018 (68),61.4,£199,"£22,400",,,
150,5 Series,Diesel,2.0L,Automatic,"45,669 miles",5,188 bhp,2018 (18),65.7,£199,"£22,300",,,
151,6 Series,Diesel,3.0L,Automatic,"43,172 miles",4,308 bhp,2016 (16),,£199,"£22,300",,,
152,X1,Petrol,1.5L,Manual,"11,290 miles",5,,2018 (18),,£199,"£22,200",SUV,132 g/km,
153,2 Series,Petrol,1.5L,Automatic,"36,604 miles",2,134 bhp,2019 (19),50.4,£199,"£22,200",,,
154,3 Series,Diesel,3.0L,Automatic,"35,582 miles",4,308 bhp,2017 (67),,£199,"£22,100",,,
155,3 Series,Diesel,2.0L,Automatic,"38,728 miles",5,188 bhp,2018 (68),,£199,"£22,100",,,
156,X1,Diesel,2.0L,Automatic,"44,030 miles",5,187 bhp,2018 (18),,£199,"£22,100",,,
157,2 Series,Diesel,2.0L,Automatic,"38,371 miles",5,187 bhp,2018 (68),47.1,£199,"£22,000",,,
158,X1,Diesel,2.0L,Automatic,"22,587 miles",5,148 bhp,2017 (17),,£199,"£22,000",,,
159,5 Series,Diesel,2.0L,Automatic,"58,410 miles",4,188 bhp,2018 (18),,£199,"£22,000",,,
160,5 Series,Diesel,2.0L,Automatic,"39,001 miles",4,188 bhp,2018 (18),,£199,"£22,000",,,
161,2 Series,Hybrid Petrol,1.5L,Automatic,"25,947 miles",5,,2018 (68),,£199,"£22,000",Hatchback,57 g/km,
162,5 Series,Diesel,2.0L,Automatic,"35,011 miles",4,188 bhp,2017 (67),,£199,"£22,000",,,
163,6 Series,Diesel,3.0L,Automatic,"41,542 miles",4,308 bhp,2015 (15),,£199,"£21,900",,,
164,I3,Electric,,Automatic,"14,722 miles",5,168 bhp,2018 (68),1.0,£199,"£21,800",,,
165,2 Series,Diesel,2.0L,Automatic,"29,384 miles",5,187 bhp,2018 (18),47.1,£199,"£21,800",,,
166,X4,Diesel,3.0L,Automatic,"70,331 miles",4,255 bhp,2015 (65),,£199,"£21,800",,,
167,2 Series,Petrol,2.0L,Automatic,"24,682 miles",2,181 bhp,2018 (18),,£199,"£21,800",,,
168,X3,Diesel,2.0L,Automatic,"41,295 miles",5,188 bhp,2015 (64),54.3,£199,"£21,700",,,
169,4 Series,Petrol,2.0L,Automatic,"38,022 miles",4,181 bhp,2018 (18),,£199,"£21,700",,,
170,3 Series,Diesel,2.0L,Automatic,"51,632 miles",4,188 bhp,2018 (68),,£199,"£21,700",,,
171,1 Series,Diesel,2.0L,Automatic,"22,878 miles",5,147 bhp,2018 (68),,£199,"£21,700",,,
172,3 Series,Diesel,2.0L,Automatic,"36,718 miles",5,188 bhp,2018 (18),,£199,"£21,700",,,
173,4 Series,Petrol,2.0L,Automatic,"38,468 miles",2,181 bhp,2018 (18),,£199,"£21,700",,,
174,X2,Diesel,2.0L,Automatic,"57,746 miles",5,187 bhp,2018 (18),58.9,£199,"£21,700",,,
175,5 Series,Petrol,2.0L,Automatic,"44,774 miles",4,181 bhp,2019 (19),,£199,"£21,700",,,
176,3 Series,Diesel,3.0L,Automatic,"28,375 miles",4,308 bhp,2016 (66),,£199,"£21,600",,,
177,X1,Petrol,1.5L,Manual,"38,958 miles",5,138 bhp,2018 (18),51.4,£199,"£21,600",,,
178,X3,Diesel,2.0L,Automatic,"51,443 miles",5,188 bhp,2017 (17),,£199,"£21,600",,,
179,X3,Diesel,2.0L,Automatic,"55,401 miles",5,188 bhp,2015 (65),,£199,"£21,600",,,
180,4 Series,Diesel,2.0L,Automatic,"24,788 miles",4,188 bhp,2016 (66),,£199,"£21,600",,,
181,3 Series,Diesel,3.0L,Automatic,"22,488 miles",4,308 bhp,2017 (67),,£199,"£21,600",,,
182,5 Series,Diesel,2.0L,Automatic,"31,226 miles",5,188 bhp,2017 (17),,£199,"£21,600",,,
183,X1,Petrol,1.5L,Manual,"25,235 miles",5,138 bhp,2018 (68),51.4,£199,"£21,500",,,
184,5 Series,Diesel,2.0L,Automatic,"79,628 miles",4,188 bhp,2017 (17),,£199,"£21,500",,,
185,5 Series,Diesel,3.0L,Automatic,"24,667 miles",4,255 bhp,2015 (65),,£199,"£21,500",,,
186,X1,Diesel,2.0L,Automatic,"43,847 miles",5,148 bhp,2017 (17),,£199,"£21,500",,,
187,X4,Diesel,2.0L,Automatic,"64,026 miles",4,188 bhp,2015 (65),,£199,"£21,500",,,
188,1 Series,Petrol,2.0L,Automatic,"27,350 miles",5,181 bhp,2019 (68),,£199,"£21,500",,,
189,5 Series,Diesel,2.0L,Automatic,"46,576 miles",4,188 bhp,2018 (68),,£199,"£21,400",,,
190,X1,Diesel,2.0L,Automatic,"50,492 miles",5,188 bhp,2016 (66),57.7,£199,"£21,400",,,
191,I3,Electric,,Automatic,"20,310 miles",5,168 bhp,2018 (68),1.0,£199,"£21,300",,,
192,M2,Petrol,3.0L,Automatic,"49,179 miles",2,335 bhp,2016 (66),39.8,£199,"£21,300",,,
193,3 Series,Hybrid Petrol,2.0L,Automatic,"52,012 miles",4,248 bhp,2018 (18),,£199,"£21,300",,,
194,X1,Diesel,2.0L,Automatic,"40,411 miles",5,188 bhp,2016 (16),57.7,£199,"£21,300",,,
