,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Tax,Price,Body Type,CO2,MOT Expires
238,4 Series,Petrol,2.0L,Manual,"49,286 miles",2,248 bhp,2016 (66),,£199,"£20,523",,,
239,2 Series,Diesel,2.0L,Automatic,"28,872 miles",2,148 bhp,2018 (18),,£199,"£20,500",,,
240,3 Series,Diesel,2.0L,Automatic,"42,358 miles",4,188 bhp,2017 (67),64.2,£199,"£20,500",,,
241,2 Series,Petrol,2.0L,Automatic,"16,249 miles",2,181 bhp,2017 (67),47.9,£199,"£20,500",,,
242,3 Series,Hybrid Petrol,2.0L,Automatic,"48,448 miles",4,,2018 (18),,£199,"£20,500",,,29-06-2022
243,X1,Diesel,2.0L,Automatic,"26,769 miles",5,188 bhp,2016 (16),,£199,"£20,500",,,
244,3 Series,Hybrid Petrol,2.0L,Automatic,"40,765 miles",4,,2018 (18),,£199,"£20,500",Saloon,,20-08-2022
245,X1,Diesel,2.0L,Manual,"36,425 miles",5,188 bhp,2017 (17),,£199,"£20,500",,,
246,4 Series,Petrol,2.0L,Manual,"21,308 miles",2,181 bhp,2017 (67),42.8,£199,"£20,400",,,
247,X1,Petrol,1.5L,Manual,"42,218 miles",5,138 bhp,2018 (18),51.4,£199,"£20,400",,,
248,2 Series,Petrol,1.5L,Automatic,"38,175 miles",5,138 bhp,2018 (68),39.8,£199,"£20,400",,,
249,X1,Diesel,2.0L,Automatic,"49,623 miles",5,148 bhp,2017 (17),,£199,"£20,400",,,
250,2 Series,Petrol,3.0L,Automatic,"49,494 miles",2,335 bhp,2016 (66),39.8,£199,"£20,400",,,
251,4 Series,Diesel,3.0L,Automatic,"65,767 miles",2,308 bhp,2016 (66),,£199,"£20,400",,,
252,4 Series,Diesel,2.0L,Automatic,"46,634 miles",2,188 bhp,2017 (17),,£199,"£20,300",,,
253,3 Series,Hybrid Petrol,2.0L,Automatic,"37,428 miles",4,,2017 (67),,£199,"£20,300",,,09-09-2022
254,1 Series,Diesel,1.5L,Manual,"12,545 miles",5,114 bhp,2020 (20),,£199,"£20,300",,,
255,X1,Diesel,2.0L,Automatic,"61,517 miles",5,187 bhp,2018 (18),,£199,"£20,300",,,
256,4 Series,Diesel,2.0L,Automatic,"30,042 miles",2,188 bhp,2016 (66),,£199,"£20,300",,,
257,3 Series,Diesel,2.0L,Automatic,"27,074 miles",5,188 bhp,2017 (17),,£199,"£20,300",,,
258,4 Series,Diesel,2.0L,Automatic,"50,125 miles",2,188 bhp,2016 (66),,£199,"£20,200",,,
259,1 Series,Petrol,1.5L,Automatic,"25,057 miles",5,134 bhp,2018 (68),,£199,"£20,200",,,
260,1 Series,Petrol,2.0L,Manual,"29,311 miles",5,181 bhp,2018 (18),46.3,£199,"£20,200",,,
261,X1,Diesel,2.0L,Automatic,"50,029 miles",5,188 bhp,2016 (16),,£199,"£20,200",,,
262,5 Series,Diesel,3.0L,Automatic,"40,278 miles",4,308 bhp,2016 (16),50.4,£199,"£20,200",,,
263,5 Series,Diesel,2.0L,Automatic,"60,209 miles",4,188 bhp,2017 (67),,£199,"£20,200",,,
264,3 Series,Diesel,2.0L,Automatic,"59,452 miles",5,188 bhp,2017 (67),,£199,"£20,200",,,
265,2 Series,Petrol,1.5L,Manual,"16,631 miles",2,134 bhp,2018 (68),,£199,"£20,200",,,
266,2 Series,Diesel,2.0L,Manual,"39,222 miles",5,188 bhp,2016 (66),60.1,£199,"£20,100",,,
267,3 Series,Diesel,2.0L,Automatic,"36,246 miles",4,188 bhp,2017 (67),,£199,"£20,100",,,
268,4 Series,Diesel,3.0L,Automatic,"32,448 miles",2,255 bhp,2015 (65),,£199,"£20,100",,,
269,X1,Diesel,2.0L,Automatic,"63,545 miles",5,187 bhp,2018 (18),,£199,"£20,100",,,
270,3 Series,Diesel,3.0L,Automatic,"31,745 miles",4,255 bhp,2016 (66),56.5,£199,"£20,100",,,
271,2 Series,Diesel,1.5L,Automatic,"21,168 miles",5,114 bhp,2018 (18),68.9,£199,"£20,100",,,
272,2 Series,Petrol,1.5L,Automatic,"31,435 miles",2,134 bhp,2017 (67),,£199,"£20,100",,,
273,2 Series,Petrol,1.5L,Automatic,"24,298 miles",2,134 bhp,2018 (18),,£199,"£20,000",,,
274,2 Series,Petrol,1.5L,Automatic,"33,661 miles",2,134 bhp,2018 (67),,£199,"£20,000",,,
275,5 Series,Diesel,2.0L,Automatic,"46,133 miles",5,188 bhp,2016 (66),,£199,"£20,000",,,
276,3 Series,Hybrid Petrol,2.0L,Automatic,"46,275 miles",4,,2018 (18),,£199,"£20,000",,,11-05-2022
277,3 Series,Diesel,2.0L,Automatic,"30,085 miles",4,188 bhp,2018 (18),,£199,"£19,900",,,
278,2 Series,Diesel,2.0L,Manual,"31,037 miles",5,148 bhp,2018 (18),51.4,£199,"£19,900",,,
279,5 Series,Diesel,2.0L,Automatic,"82,275 miles",4,,2017 (17),,£199,"£19,900",Saloon,114 g/km,
280,2 Series,Petrol,1.5L,Manual,"29,147 miles",5,138 bhp,2018 (68),40.4,£199,"£19,900",,,
281,2 Series,Petrol,1.5L,Automatic,"26,522 miles",2,134 bhp,2018 (68),,£199,"£19,900",,,
282,4 Series,Diesel,3.0L,Automatic,"64,962 miles",2,308 bhp,2015 (65),,£199,"£19,800",,,
283,1 Series,Petrol,1.5L,Manual,"22,777 miles",5,134 bhp,2019 (19),,£199,"£19,800",,,
284,X1,Diesel,2.0L,Manual,"45,333 miles",5,148 bhp,2017 (67),,£199,"£19,800",,,
285,3 Series,Diesel,2.0L,Automatic,"35,330 miles",4,188 bhp,2018 (18),,£199,"£19,800",,,
286,2 Series,Diesel,2.0L,Automatic,"39,727 miles",5,187 bhp,2018 (68),49.6,£199,"£19,800",,,
287,3 Series,Hybrid Petrol,2.0L,Automatic,"42,000 miles",4,,2017 (67),,£199,"£19,800",,,14-09-2022
288,3 Series,Hybrid Petrol,2.0L,Automatic,"44,444 miles",4,,2018 (67),,£199,"£19,800",,,29-09-2022
289,X3,Diesel,2.0L,Automatic,"69,748 miles",5,188 bhp,2016 (16),,£199,"£19,700",,,
290,X1,Diesel,2.0L,Automatic,"52,962 miles",5,148 bhp,2017 (67),,£199,"£19,700",,,
291,4 Series,Diesel,2.0L,Automatic,"80,468 miles",4,188 bhp,2018 (18),,£199,"£19,700",,,
292,4 Series,Diesel,2.0L,Automatic,"53,386 miles",4,188 bhp,2016 (66),,£199,"£19,700",,,
293,1 Series,Petrol,1.5L,Manual,"16,830 miles",5,134 bhp,2018 (68),,£199,"£19,700",,,
294,4 Series,Diesel,2.0L,Automatic,"48,420 miles",4,188 bhp,2016 (16),,£199,"£19,700",,,
295,2 Series,Petrol,2.0L,Automatic,"39,356 miles",2,181 bhp,2017 (67),47.9,£199,"£19,700",,,
296,X1,Diesel,2.0L,Manual,"24,174 miles",5,148 bhp,2015 (65),60.1,£199,"£19,700",,,
297,1 Series,Petrol,1.5L,Manual,"12,399 miles",3,134 bhp,2019 (19),,£199,"£19,700",,,
298,4 Series,Petrol,2.0L,Automatic,"60,048 miles",4,181 bhp,2017 (17),45.6,£199,"£19,700",,,
299,5 Series,Diesel,2.0L,Automatic,"53,184 miles",4,188 bhp,2017 (17),,£199,"£19,600",,,
300,1 Series,Petrol,1.5L,Manual,"22,149 miles",5,134 bhp,2019 (19),,£199,"£19,600",,,
301,1 Series,Petrol,2.0L,Automatic,"8,848 miles",3,181 bhp,2018 (18),,£199,"£19,500",,,
302,3 Series,Diesel,2.0L,Automatic,"46,356 miles",4,188 bhp,2018 (68),,£199,"£19,500",,,
303,2 Series,Diesel,2.0L,Automatic,"26,634 miles",5,187 bhp,2018 (18),51.4,£199,"£19,500",,,
304,5 Series,Diesel,2.0L,Automatic,"60,544 miles",4,188 bhp,2017 (17),,£199,"£19,500",,,
305,3 Series,Diesel,3.0L,Automatic,"36,684 miles",4,308 bhp,2014 (64),,£199,"£19,400",,,
306,2 Series,Petrol,1.5L,Manual,"16,006 miles",5,138 bhp,2018 (68),40.9,£199,"£19,400",,,
307,I3,Hybrid Petrol,0.6L,Automatic,"30,237 miles",5,168 bhp,2018 (68),,£199,"£19,400",,,
308,1 Series,Diesel,1.5L,Manual,"7,084 miles",5,114 bhp,2020 (69),,£199,"£19,400",,,
309,X1,Diesel,2.0L,Automatic,"64,534 miles",5,188 bhp,2016 (16),,£199,"£19,400",,,
310,X1,Diesel,2.0L,Manual,"50,010 miles",5,148 bhp,2018 (68),,£199,"£19,400",,,
311,5 Series,Diesel,2.0L,Automatic,"79,355 miles",4,188 bhp,2018 (18),,£199,"£19,400",,,
312,M2,Petrol,3.0L,Automatic,"34,280 miles",2,322 bhp,2015 (15),,£199,"£19,400",,,
313,3 Series,Diesel,3.0L,Automatic,"48,721 miles",4,308 bhp,2015 (65),,£199,"£19,300",,,
314,3 Series,Diesel,2.0L,Automatic,"51,168 miles",5,188 bhp,2016 (16),60.1,£199,"£19,300",,,
315,2 Series,Diesel,2.0L,Automatic,"38,959 miles",2,188 bhp,2018 (18),,£199,"£19,300",,,
316,4 Series,Diesel,2.0L,Automatic,"33,898 miles",4,188 bhp,2015 (65),,£199,"£19,300",,,
317,X1,Diesel,2.0L,Manual,"42,574 miles",5,188 bhp,2016 (66),,£199,"£19,300",,,
318,3 Series,Diesel,2.0L,Automatic,"42,174 miles",5,188 bhp,2017 (17),60.1,£199,"£19,300",,,
319,X1,Diesel,2.0L,Automatic,"33,352 miles",5,148 bhp,2017 (67),,£199,"£19,300",,,
320,2 Series,Petrol,1.5L,Manual,"36,244 miles",5,134 bhp,2017 (66),51.4,£199,"£19,250",,,
321,2 Series,Petrol,1.5L,Manual,"45,882 miles",5,138 bhp,2019 (19),40.4,£199,"£19,200",,,
322,3 Series,Diesel,2.0L,Automatic,"70,027 miles",5,188 bhp,2018 (18),57.7,£199,"£19,200",,,
323,4 Series,Diesel,2.0L,Automatic,"47,550 miles",4,188 bhp,2017 (17),65.7,£199,"£19,200",,,
324,2 Series,Diesel,2.0L,Automatic,"42,214 miles",5,187 bhp,2018 (68),49.6,£199,"£19,200",,,
325,4 Series,Diesel,2.0L,Automatic,"69,297 miles",2,188 bhp,2018 (18),,£199,"£19,200",,,
326,2 Series,Diesel,2.0L,Automatic,"36,133 miles",5,148 bhp,2017 (17),64.2,£199,"£19,100",,,
327,2 Series,Petrol,1.5L,Manual,"20,802 miles",5,138 bhp,2018 (68),40.9,£199,"£19,100",,,
328,3 Series,Petrol,2.0L,Automatic,"49,197 miles",4,248 bhp,2016 (16),,£199,"£19,100",,,
329,3 Series,Diesel,2.0L,Automatic,"29,674 miles",4,188 bhp,2016 (66),,£199,"£19,100",,,
330,3 Series,Petrol,2.0L,Manual,"36,598 miles",4,248 bhp,2017 (17),,£199,"£19,100",,,
331,3 Series,Hybrid Petrol,2.0L,Automatic,"51,709 miles",4,,2017 (67),,£199,"£19,100",,,13-09-2022
332,1 Series,Diesel,1.5L,Automatic,"26,479 miles",5,114 bhp,2018 (18),,£199,"£19,100",,,
333,3 Series,Diesel,2.0L,Automatic,"45,280 miles",4,188 bhp,2017 (17),,£199,"£19,000",,,
334,5 Series,Diesel,2.0L,Automatic,"74,206 miles",4,188 bhp,2017 (67),72.4,£199,"£19,000",,,
335,3 Series,Diesel,2.0L,Automatic,"21,034 miles",4,188 bhp,2017 (67),,£199,"£18,900",,,
336,1 Series,Diesel,2.0L,Automatic,"35,441 miles",5,188 bhp,2018 (18),,£199,"£18,900",,,
337,3 Series,Diesel,2.0L,Automatic,"68,176 miles",4,188 bhp,2017 (67),,£199,"£18,900",,,
338,5 Series,Diesel,3.0L,Automatic,"72,878 miles",4,255 bhp,2016 (66),,£199,"£18,900",,,
339,3 Series,Petrol,2.0L,Automatic,"29,967 miles",4,181 bhp,2015 (65),,£199,"£18,900",,,
340,3 Series,Hybrid Petrol,2.0L,Automatic,"44,085 miles",4,,2018 (18),,£199,"£18,900",,,23-06-2022
341,4 Series,Diesel,2.0L,Automatic,"55,765 miles",2,188 bhp,2016 (66),,£199,"£18,900",,,
342,3 Series,Petrol,2.0L,Automatic,"41,075 miles",4,181 bhp,2018 (68),,£199,"£18,900",,,
343,4 Series,Diesel,2.0L,Automatic,"52,104 miles",2,188 bhp,2017 (17),65.7,£199,"£18,900",,,
344,1 Series,Petrol,1.5L,Automatic,"34,806 miles",5,134 bhp,2017 (67),54.3,£199,"£18,800",,,
345,3 Series,Diesel,2.0L,Automatic,"39,405 miles",4,188 bhp,2018 (18),,£199,"£18,800",,,
346,1 Series,Diesel,2.0L,Automatic,"40,685 miles",5,147 bhp,2019 (19),,£199,"£18,800",,,
347,5 Series,Diesel,2.0L,Automatic,"23,571 miles",4,188 bhp,2014 (64),62.8,£199,"£18,800",,,
348,2 Series,Petrol,1.5L,Manual,"58,530 miles",5,138 bhp,2019 (19),51.4,£199,"£18,800",,,
349,3 Series,Diesel,3.0L,Automatic,"45,241 miles",4,308 bhp,2015 (65),,£199,"£18,800",,,
350,3 Series,Diesel,3.0L,Automatic,"57,421 miles",4,308 bhp,2016 (66),,£199,"£18,800",,,
351,2 Series,Petrol,1.5L,Manual,"8,901 miles",5,138 bhp,2020 (20),44.1,£199,"£18,700",,,
352,3 Series,Diesel,2.0L,Automatic,"55,548 miles",4,188 bhp,2018 (68),,£199,"£18,700",,,
353,3 Series,Petrol,2.0L,Automatic,"77,689 miles",4,181 bhp,2018 (18),,£199,"£18,700",,,
354,2 Series,Diesel,2.0L,Automatic,"40,940 miles",2,222 bhp,2016 (66),,£199,"£18,700",,,
355,3 Series,Diesel,2.0L,Automatic,"40,053 miles",4,188 bhp,2016 (66),64.2,£199,"£18,700",,,
356,2 Series,Petrol,2.0L,Automatic,"30,670 miles",2,181 bhp,2016 (16),,£199,"£18,700",,,
357,2 Series,Petrol,1.5L,Automatic,"31,331 miles",2,134 bhp,2019 (19),,£199,"£18,700",,,
358,3 Series,Diesel,2.0L,Automatic,"27,280 miles",4,188 bhp,2016 (66),,£199,"£18,700",,,
359,5 Series,Diesel,2.0L,Automatic,"47,285 miles",5,188 bhp,2016 (66),,£199,"£18,700",,,
360,3 Series,Diesel,3.0L,Automatic,"53,000 miles",5,308 bhp,2015 (15),49.6,£199,"£18,600",,,
361,3 Series,Diesel,2.0L,Manual,"36,977 miles",4,188 bhp,2018 (18),64.2,£199,"£18,600",,,
362,2 Series,Diesel,2.0L,Manual,"12,063 miles",2,148 bhp,2018 (67),,£199,"£18,600",,,
363,X1,Diesel,2.0L,Manual,"17,602 miles",5,148 bhp,2017 (17),,£199,"£18,600",,,
364,2 Series,Hybrid Petrol,1.5L,Automatic,"53,956 miles",5,,2018 (68),,£199,"£18,600",Hatchback,57 g/km,
365,3 Series,Diesel,2.0L,Automatic,"39,463 miles",4,161 bhp,2018 (68),,£199,"£18,600",,,
366,5 Series,Diesel,2.0L,Automatic,"33,673 miles",5,148 bhp,2017 (17),,£199,"£18,500",,,
367,3 Series,Diesel,2.0L,Automatic,"41,928 miles",5,161 bhp,2018 (18),,£199,"£18,500",,,
368,5 Series,Diesel,2.0L,Automatic,"83,586 miles",4,188 bhp,2017 (67),,£199,"£18,400",,,
369,1 Series,Petrol,1.5L,Automatic,"40,763 miles",5,134 bhp,2017 (67),54.3,£199,"£18,400",,,
370,3 Series,Diesel,2.0L,Automatic,"33,513 miles",4,148 bhp,2018 (68),,£199,"£18,400",,,
371,2 Series,Petrol,1.5L,Manual,"24,325 miles",5,138 bhp,2018 (68),42.2,£199,"£18,400",,,
372,7 Series,Diesel,3.0L,Automatic,"72,149 miles",4,255 bhp,2015 (15),,£199,"£18,400",,,
373,X3,Diesel,2.0L,Automatic,"66,287 miles",5,188 bhp,2016 (66),,£199,"£18,400",,,
374,3 Series,Diesel,2.0L,Automatic,"50,345 miles",5,188 bhp,2016 (66),,£199,"£18,400",,,
375,3 Series,Diesel,2.0L,Automatic,"31,248 miles",4,188 bhp,2016 (66),,£199,"£18,400",,,
376,3 Series,Diesel,2.0L,Automatic,"52,039 miles",5,,2016 (16),,£199,"£18,300",Hatchback,124 g/km,
377,2 Series,Diesel,2.0L,Automatic,"27,283 miles",5,188 bhp,2016 (66),64.2,£199,"£18,300",,,
378,1 Series,Petrol,1.5L,Manual,"12,612 miles",5,134 bhp,2018 (68),,£199,"£18,300",,,
379,3 Series,Diesel,2.0L,Automatic,"48,637 miles",4,188 bhp,2017 (66),,£199,"£18,300",,,
380,3 Series,Petrol,2.0L,Manual,"31,283 miles",4,181 bhp,2018 (67),,£199,"£18,200",,,
381,5 Series,Diesel,3.0L,Automatic,"41,919 miles",4,308 bhp,2015 (15),,£199,"£18,200",,,
382,3 Series,Diesel,2.0L,Automatic,"47,411 miles",5,188 bhp,2017 (17),,£199,"£18,200",,,
383,5 Series,Diesel,3.0L,Automatic,"60,575 miles",4,308 bhp,2016 (16),,£199,"£18,200",,,
384,3 Series,Diesel,3.0L,Automatic,"61,942 miles",4,308 bhp,2015 (65),,£199,"£18,200",,,
385,X1,Diesel,2.0L,Manual,"57,712 miles",5,148 bhp,2016 (66),,£199,"£18,200",,,
386,1 Series,Diesel,2.0L,Automatic,"41,544 miles",5,147 bhp,2018 (67),67.3,£199,"£18,200",,,
387,1 Series,Diesel,1.5L,Automatic,"38,895 miles",5,114 bhp,2018 (18),,£199,"£18,100",,,
388,I3,Hybrid Petrol,0.6L,Automatic,"33,759 miles",5,,2017 (66),,£199,"£18,100",,,12-10-2022
389,4 Series,Diesel,2.0L,Automatic,"69,853 miles",4,188 bhp,2017 (17),,£199,"£18,100",,,
390,X1,Diesel,2.0L,Manual,"26,374 miles",5,148 bhp,2017 (67),68.9,£199,"£18,100",,,
391,3 Series,Diesel,3.0L,Automatic,"49,162 miles",4,255 bhp,2015 (65),,£199,"£18,100",,,
392,2 Series,Petrol,1.5L,Manual,"28,651 miles",2,134 bhp,2018 (68),,£199,"£18,100",,,
393,3 Series,Diesel,2.0L,Automatic,"49,546 miles",4,188 bhp,2016 (16),,£199,"£18,100",,,
394,4 Series,Diesel,2.0L,Automatic,"58,332 miles",2,188 bhp,2017 (17),65.7,£199,"£18,100",,,
395,2 Series,Petrol,1.5L,Manual,"24,002 miles",5,138 bhp,2018 (68),42.8,£199,"£18,100",,,
396,3 Series,Hybrid Petrol,2.0L,Automatic,"44,216 miles",4,,2017 (17),,£199,"£18,000",,,20-06-2022
397,1 Series,Petrol,1.5L,Manual,"34,684 miles",5,134 bhp,2018 (18),52.3,£199,"£18,000",,,
398,2 Series,Petrol,1.5L,Manual,"23,302 miles",5,138 bhp,2018 (18),40.9,£199,"£18,000",,,
399,X1,Diesel,2.0L,Automatic,"56,004 miles",5,148 bhp,2017 (67),,£199,"£18,000",,,
400,2 Series,Petrol,1.5L,Manual,"19,060 miles",5,138 bhp,2019 (68),42.8,£199,"£18,000",,,
401,5 Series,Diesel,2.0L,Automatic,"60,000 miles",5,188 bhp,2017 (17),,£199,"£17,900",,,
402,3 Series,Diesel,2.0L,Automatic,"41,392 miles",4,188 bhp,2016 (66),,£199,"£17,900",,,
403,X1,Petrol,1.5L,Manual,"54,744 miles",5,138 bhp,2018 (18),51.4,£199,"£17,900",,,
404,2 Series,Petrol,1.5L,Manual,"23,676 miles",5,138 bhp,2018 (18),42.8,£199,"£17,900",,,
405,1 Series,Petrol,1.5L,Automatic,"24,279 miles",5,134 bhp,2018 (68),,£199,"£17,900",,,
406,2 Series,Petrol,2.0L,Automatic,"46,906 miles",5,189 bhp,2018 (18),50.4,£199,"£17,900",,,
407,3 Series,Diesel,3.0L,Automatic,"33,931 miles",4,255 bhp,2015 (65),,£199,"£17,900",,,
408,4 Series,Diesel,3.0L,Automatic,"47,550 miles",2,255 bhp,2014 (64),53.3,£199,"£17,800",,,
409,2 Series,Petrol,1.5L,Manual,"29,064 miles",2,134 bhp,2018 (18),,£199,"£17,800",,,
410,1 Series,Petrol,2.0L,Automatic,"26,045 miles",5,181 bhp,2017 (67),,£199,"£17,800",,,
411,3 Series,Diesel,2.0L,Manual,"25,067 miles",4,188 bhp,2017 (17),,£199,"£17,800",,,
412,2 Series,Diesel,2.0L,Manual,"20,957 miles",5,188 bhp,2018 (18),64.2,£199,"£17,800",,,
413,2 Series,Diesel,2.0L,Automatic,"39,390 miles",5,187 bhp,2018 (18),49.6,£199,"£17,800",,,
414,1 Series,Diesel,2.0L,Automatic,"44,645 miles",5,221 bhp,2017 (67),,£199,"£17,700",,,
415,2 Series,Diesel,2.0L,Automatic,"40,891 miles",2,148 bhp,2016 (66),,£199,"£17,700",,,
416,X3,Diesel,3.0L,Automatic,"75,301 miles",5,255 bhp,2015 (65),,£199,"£17,700",,,
417,1 Series,Diesel,2.0L,Automatic,"51,109 miles",5,147 bhp,2018 (18),67.3,£199,"£17,700",,,
418,3 Series,Diesel,2.0L,Automatic,"56,010 miles",5,215 bhp,2015 (65),,£199,"£17,700",,,
419,2 Series,Petrol,1.5L,Manual,"19,462 miles",2,134 bhp,2017 (67),,£199,"£17,700",,,
420,X1,Diesel,2.0L,Manual,"44,753 miles",5,148 bhp,2017 (67),68.9,£199,"£17,600",,,
421,3 Series,Diesel,3.0L,Automatic,"77,215 miles",4,308 bhp,2016 (16),,£199,"£17,600",,,
422,1 Series,Petrol,1.5L,Automatic,"25,923 miles",5,134 bhp,2018 (18),,£199,"£17,600",,,
423,5 Series,Diesel,2.0L,Automatic,"48,979 miles",4,188 bhp,2016 (16),,£199,"£17,600",,,
424,X1,Diesel,2.0L,Manual,"51,856 miles",5,148 bhp,2017 (17),,£199,"£17,600",,,
425,2 Series,Petrol,1.5L,Automatic,"27,932 miles",2,134 bhp,2016 (66),51.4,£199,"£17,600",,,
426,2 Series,Diesel,2.0L,Manual,"27,456 miles",2,188 bhp,2016 (66),,£199,"£17,500",,,
427,1 Series,Diesel,1.5L,Manual,"4,589 miles",5,114 bhp,2019 (19),78.5,£199,"£17,500",,,
428,5 Series,Diesel,2.0L,Automatic,"54,091 miles",5,188 bhp,2015 (65),,£199,"£17,500",,,
429,2 Series,Petrol,1.5L,Manual,"35,354 miles",5,138 bhp,2018 (18),40.4,£199,"£17,500",,,
430,3 Series,Hybrid Petrol,2.0L,Automatic,"54,303 miles",4,,2017 (66),,£199,"£17,500",Saloon,,19-10-2022
431,2 Series,Diesel,2.0L,Manual,"60,363 miles",5,148 bhp,2017 (17),62.8,£199,"£17,450",,,
432,3 Series,Diesel,3.0L,Automatic,"59,824 miles",4,255 bhp,2016 (66),,£199,"£17,400",,,
433,5 Series,Diesel,3.0L,Automatic,"63,689 miles",4,308 bhp,2015 (15),50.4,£199,"£17,400",,,
434,3 Series,Diesel,2.0L,Automatic,"19,319 miles",4,148 bhp,2016 (16),,£199,"£17,400",,,
435,4 Series,Diesel,2.0L,Automatic,"50,749 miles",4,188 bhp,2016 (16),,£199,"£17,400",,,
436,3 Series,Diesel,2.0L,Manual,"30,217 miles",4,188 bhp,2017 (17),,£199,"£17,400",,,
437,3 Series,Petrol,2.0L,Automatic,"31,368 miles",4,181 bhp,2017 (17),,£199,"£17,400",,,
438,3 Series,Diesel,2.0L,Automatic,"55,206 miles",5,161 bhp,2018 (18),67.3,£199,"£17,400",,,
439,3 Series,Petrol,1.5L,Automatic,"40,490 miles",4,134 bhp,2018 (67),54.3,£199,"£17,350",,,
440,3 Series,Diesel,2.0L,Automatic,"41,183 miles",4,148 bhp,2016 (66),,£199,"£17,300",,,
441,3 Series,Diesel,2.0L,Manual,"22,688 miles",4,148 bhp,2018 (68),,£199,"£17,300",,,
442,1 Series,Diesel,1.5L,Automatic,"27,672 miles",3,114 bhp,2017 (67),68.9,£199,"£17,300",,,
443,X1,Diesel,2.0L,Manual,"55,960 miles",5,148 bhp,2017 (67),,£199,"£17,300",,,
444,3 Series,Petrol,1.5L,Automatic,"27,758 miles",4,134 bhp,2016 (16),,£199,"£17,300",,,
445,1 Series,Petrol,1.5L,Manual,"23,709 miles",5,134 bhp,2019 (69),,£199,"£17,200",,,
446,3 Series,Petrol,2.0L,Manual,"34,778 miles",4,181 bhp,2016 (66),,£199,"£17,200",,,
447,5 Series,Diesel,2.0L,Automatic,"57,162 miles",5,188 bhp,2016 (16),,£199,"£17,200",,,
448,X1,Diesel,2.0L,Manual,"41,384 miles",5,148 bhp,2017 (17),,£199,"£17,200",,,
449,2 Series,Petrol,2.0L,Automatic,"41,182 miles",2,181 bhp,2017 (17),47.9,£199,"£17,200",,,
450,3 Series,Diesel,2.0L,Automatic,"38,646 miles",4,161 bhp,2017 (67),74.3,£199,"£17,200",,,
451,2 Series,Diesel,2.0L,Automatic,"32,990 miles",2,148 bhp,2016 (16),,£199,"£17,200",,,
452,X1,Diesel,2.0L,Manual,"62,883 miles",5,148 bhp,2017 (67),,£199,"£17,200",,,
453,1 Series,Petrol,1.5L,Manual,"41,174 miles",5,134 bhp,2018 (68),,£199,"£17,200",,,
454,2 Series,Diesel,2.0L,Automatic,"23,682 miles",5,148 bhp,2018 (18),68.9,£199,"£17,100",,,
455,3 Series,Diesel,2.0L,Automatic,"40,005 miles",4,188 bhp,2015 (65),,£199,"£17,100",,,
456,2 Series,Diesel,2.0L,Automatic,"29,148 miles",2,188 bhp,2015 (15),,£199,"£17,100",,,
457,2 Series,Petrol,1.5L,Manual,"37,760 miles",2,134 bhp,2017 (67),,£199,"£17,100",,,
458,2 Series,Petrol,1.5L,Manual,"44,961 miles",5,138 bhp,2018 (68),40.9,£199,"£17,100",,,
459,2 Series,Diesel,2.0L,Manual,"34,017 miles",2,148 bhp,2016 (66),61.4,£199,"£17,100",,,
460,3 Series,Diesel,3.0L,Automatic,"57,762 miles",5,255 bhp,2015 (65),54.3,£199,"£17,100",,,
461,3 Series,Diesel,2.0L,Automatic,"72,275 miles",5,188 bhp,2016 (65),,£199,"£17,100",,,
462,1 Series,Petrol,1.5L,Automatic,"34,278 miles",5,134 bhp,2018 (68),,£199,"£17,100",,,
463,I3,Hybrid Petrol,0.6L,Automatic,"58,895 miles",5,168 bhp,2018 (68),,£199,"£17,000",,,
464,2 Series,Diesel,2.0L,Manual,"16,550 miles",2,188 bhp,2016 (66),,£199,"£17,000",,,
465,X3,Diesel,2.0L,Manual,"58,442 miles",5,188 bhp,2015 (65),52.3,£199,"£17,000",,,
466,3 Series,Diesel,2.0L,Manual,"18,085 miles",4,188 bhp,2017 (67),,£199,"£17,000",,,
467,1 Series,Petrol,1.5L,Automatic,"36,655 miles",5,134 bhp,2018 (68),,£199,"£17,000",,,
468,3 Series,Diesel,2.0L,Manual,"28,380 miles",4,148 bhp,2016 (66),,£199,"£17,000",,,
469,2 Series,Petrol,1.5L,Manual,"22,299 miles",5,138 bhp,2018 (68),44.1,£199,"£17,000",,,
470,1 Series,Diesel,2.0L,Manual,"29,546 miles",5,147 bhp,2017 (67),65.7,£199,"£17,000",,,
471,3 Series,Diesel,2.0L,Automatic,"55,306 miles",4,188 bhp,2016 (16),,£199,"£17,000",,,
472,3 Series,Diesel,2.0L,Automatic,"61,362 miles",4,188 bhp,2018 (18),,£199,"£17,000",,,
473,1 Series,Petrol,1.5L,Manual,"18,631 miles",5,134 bhp,2019 (19),,£199,"£17,000",,,
474,3 Series,Petrol,1.5L,Automatic,"35,056 miles",4,134 bhp,2017 (67),,£199,"£17,000",,,
475,2 Series,Petrol,1.5L,Manual,"38,984 miles",2,134 bhp,2018 (68),52.3,£199,"£17,000",,,
476,X1,Diesel,2.0L,Manual,"36,715 miles",5,148 bhp,2017 (17),,£199,"£16,900",,,
477,X1,Diesel,2.0L,Manual,"65,535 miles",5,188 bhp,2016 (66),,£199,"£16,900",,,
478,3 Series,Petrol,1.5L,Automatic,"23,360 miles",4,134 bhp,2016 (66),54.3,£199,"£16,900",,,
