,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
2535,MokkaX,Petrol,1.4,Manual,41269,5,138,2017,47.1,Hatchback,140,SILVER,11600
2536,Astra,Petrol,1.4,Manual,20046,5,148,2017,51.4,Hatchback,128,COSMICGREY,11600
2537,MokkaX,Petrol,1.6,Manual,17878,5,113,2017,42.2,Hatchback,155,WHITE,11500
2538,Insignia,Diesel,1.6,Manual,81568,5,108,2017,70.6,Hatchback,105,BLACK,11400
2539,Insignia,Diesel,1.6,Manual,42734,5,118,2016,66.5,Hatchback,109,Black,11300
2540,Astra,Petrol,1.4,Manual,38669,5,148,2018,51.4,Hatchback,128,BLACK,11200
2541,Astra,Petrol,1.4,Manual,44323,5,148,2018,45.6,Hatchback,136,BLUE,11100
2542,Astra,Diesel,1.6,Manual,34143,5,108,2018,83.1,Estate,89,SILVER,11000
2543,Astra,Petrol,1.4,Automatic,48519,5,148,2017,51.4,Hatchback,127,RED,11000
2544,MokkaX,Diesel,1.6,Manual,58468,5,108,2017,72.4,Hatchback,103,BLUE,10900
2545,Astra,Petrol,1.4,Manual,43912,5,148,2018,51.4,Hatchback,128,BLACK,10800
2546,Astra,Diesel,1.6,Manual,36147,5,108,2018,78.5,Estate,96,FlipChipSilvermetallic,10700
2547,Astra,Diesel,1.6,Manual,30782,5,108,2018,85.6,Hatchback,88,GREY,10700
2548,Astra,Petrol,1.4,Manual,29340,5,148,2017,51.4,Hatchback,128,SILVER,10500
2549,Astra,Diesel,1.6,Manual,50481,5,134,2016,72.4,Hatchback,103,FlipChipSilvermetallic,10500
2550,Astra,Petrol,1.4,Manual,37705,5,148,2017,51.4,Hatchback,128,SUMMITWHITE,10500
2551,Astra,Diesel,1.6,Manual,39975,5,108,2017,83.1,Estate,89,WHITE,10300
2552,Astra,Diesel,1.6,Manual,41835,5,108,2017,85.6,Hatchback,88,BLACK,10300
2553,Mokka,Diesel,1.6,Automatic,40305,5,134,2015,55.4,Hatchback,134,DeepEspressometallic,10300
2554,Mokka,Diesel,1.6,Manual,34999,5,134,2015,65.7,Hatchback,114,BLUE,9900
2555,Corsa,Petrol,1.4,Automatic,36401,5,89,2016,47.9,Hatchback,137,WHITE,9700
2556,Astra,Diesel,1.6,Manual,45425,5,108,2016,76.4,Hatchback,97,SILVER,9600
2557,Astra,Diesel,1.6,Manual,33004,5,108,2016,76.4,Hatchback,97,RED,9500
2558,Adam,Petrol,1.2,Manual,18344,3,69,2019,44.8,Hatchback,128,BlackJackmetallic,9500
2559,Mokka,Petrol,1.4,Manual,39366,5,138,2015,44.8,Hatchback,145,GREY,9300
2560,Zafira,Petrol,1.4,Manual,59811,5,138,2015,42.8,MPV,154,WHITE,9300
2561,Corsa,Petrol,1.4,Manual,14900,3,74,2018,55.4,Hatchback,118,GREY,8900
2562,Adam,Petrol,1.2,Manual,24815,3,69,2018,44.8,Hatchback,128,SaturdayWhiteFever,8750
2563,Astra,Petrol,1.4,Manual,45090,5,99,2016,51.4,Hatchback,128,WHITE,8700
2564,Corsa,Petrol,1.4,Manual,22489,5,74,2017,55.4,Hatchback,118,BLACK,8600
2565,Corsa,Petrol,1.4,Manual,21439,5,74,2017,55.4,Hatchback,118,GREY,8400
2566,Corsa,Petrol,1.4,Manual,26731,3,89,2016,55.4,Hatchback,118,BLUE,8400
2567,Corsa,Petrol,1.4,Manual,31715,3,89,2017,55.4,Hatchback,118,GREY,8400
2568,Astra,Diesel,1.6,Manual,81240,5,108,2017,78.5,Hatchback,95,WHITE,8300
2569,Corsa,Petrol,1.4,Manual,52444,3,89,2017,54.3,Hatchback,120,BLACK,8100
2570,Corsa,Petrol,1.4,Manual,29499,5,99,2017,55.4,Hatchback,119,SILVER,8000
2571,Adam,Petrol,1.2,Manual,31311,3,69,2015,53.3,Hatchback,125,SaturdayWhiteFeverBrilliant,7900
2572,Corsa,Petrol,1.4,Manual,31089,3,74,2017,55.4,Hatchback,118,WHITE,7800
2573,AstraGTC,Petrol,1.4,Manual,39579,3,138,2015,47.1,Hatchback,142,RED,7750
2574,Corsa,Petrol,1.4,Manual,41196,3,74,2018,43.5,Hatchback,131,SILVER,7600
