,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
0,Q8,Diesel,3.0L,Automatic,"9,680 miles",5.0,282 bhp,2019 (69),33.6,Estate,178 g/km,BLACK,"£51,500"
1,Q8,Diesel,3.0L,Automatic,"21,906 miles",5.0,282 bhp,2019 (69),33.6,Estate,178 g/km,BLUE,"£49,250"
2,Q7,Diesel,3.0L,Automatic,"11,982 miles",5.0,282 bhp,2019 (69),33.2,Estate,177 g/km,Samurai grey metallic,"£49,000"
3,Q7,Diesel,3.0L,Automatic,"14,045 miles",5.0,282 bhp,2019 (69),33.2,Estate,177 g/km,DAYTONA GREY,"£48,500"
4,Q5,Petrol,2.0L,Automatic,"25,232 miles",5.0,248 bhp,2018 (68),40.4,Estate,159 g/km,GLACIER WHITE,"£34,000"
5,A5,Diesel,2.0L,Automatic,"19,436 miles",5.0,161 bhp,2020 (70),51.4,Hatchback,143 g/km,WHITE,"£33,000"
6,A6,Diesel,2.0L,Automatic,"2,627 miles",4.0,201 bhp,2019 (69),50.4,Saloon,118 g/km,BRILLIANT BLACK,"£33,000"
7,Q7,Diesel,3.0L,Automatic,"51,461 miles",5.0,215 bhp,2015 (65),48.7,Estate,150 g/km,BLACK,"£32,200"
8,Q5,Diesel,2.0L,Automatic,"32,386 miles",5.0,188 bhp,2019 (68),38.2,Estate,146 g/km,IBIS WHITE,"£31,900"
9,Q5,Diesel,2.0L,Automatic,"34,712 miles",5.0,188 bhp,2019 (69),39.2,Estate,144 g/km,BLUE,"£31,800"
10,A3,Petrol,1.5L,Automatic,"2,918 miles",4.0,148 bhp,2021 (21),47.9,Saloon,112 g/km,GREY,"£31,500"
11,Q5,Diesel,2.0L,Automatic,"21,341 miles",5.0,188 bhp,2017 (67),55.4,Estate,133 g/km,FLORET SILVER,"£30,900"
12,Q5,Diesel,2.0L,Automatic,"26,693 miles",5.0,188 bhp,2018 (18),55.4,Estate,133 g/km,GLACIER WHITE,"£30,250"
13,Q3,Diesel,2.0L,Automatic,"9,543 miles",5.0,148 bhp,2019 (69),48.7,Estate,124 g/km,BLACK,"£29,900"
