,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
65,Discovery Sport,Diesel,2.0L,Manual,"65,890 miles",5,178 bhp,2016 (16),53.3,Estate,139 g/km,GREY,"£21,300"
66,Range Rover Evoque,Diesel,2.0L,Manual,"32,117 miles",5,178 bhp,2016 (66),58.9,Estate,125 g/km,WHITE,"£21,000"
67,Range Rover Evoque,Diesel,2.0L,Manual,"59,051 miles",5,148 bhp,2017 (66),65.7,Estate,113 g/km,BLUE,"£20,800"
68,Range Rover Evoque,Diesel,2.2L,Automatic,"52,442 miles",5,190 bhp,2015 (15),47.1,Estate,159 g/km,RED,"£20,750"
69,Range Rover Evoque,Diesel,2.0L,Manual,"37,075 miles",5,178 bhp,2016 (16),58.9,Estate,125 g/km,BLACK,"£20,700"
70,Range Rover Evoque,Diesel,2.2L,Automatic,"62,265 miles",5,190 bhp,2015 (15),47.1,Estate,159 g/km,GREEN,"£20,600"
71,Range Rover Evoque,Diesel,2.0L,Manual,"31,375 miles",5,178 bhp,2016 (66),58.9,Estate,125 g/km,WHITE,"£20,500"
72,Range Rover Evoque,Diesel,2.0L,Manual,"39,640 miles",5,148 bhp,2017 (17),65.7,Estate,113 g/km,LOIRE BLUE,"£20,400"
73,Range Rover Evoque,Diesel,2.0L,Manual,"45,984 miles",5,148 bhp,2017 (17),65.7,Estate,113 g/km,RED,"£20,300"
74,Range Rover Evoque,Diesel,2.0L,Manual,"61,694 miles",5,148 bhp,2017 (17),65.7,Estate,113 g/km,BLUE,"£20,250"
75,Range Rover Evoque,Diesel,2.2L,Automatic,"54,957 miles",5,190 bhp,2015 (15),47.1,Estate,159 g/km,RED,"£20,250"
76,Range Rover Evoque,Diesel,2.0L,Manual,"66,932 miles",5,178 bhp,2016 (16),58.9,Estate,125 g/km,RED,"£20,100"
77,Range Rover Evoque,Diesel,2.2L,Automatic,"50,457 miles",5,190 bhp,2015 (15),47.1,Estate,159 g/km,BLACK,"£20,000"
78,Discovery Sport,Diesel,2.0L,Manual,"56,043 miles",5,178 bhp,2015 (65),53.3,Estate,134 g/km,CORRIS GREY,"£20,000"
79,Range Rover Evoque,Diesel,2.0L,Manual,"53,770 miles",5,148 bhp,2017 (17),65.7,Estate,113 g/km,GREY,"£20,000"
80,Discovery Sport,Diesel,2.2L,Manual,"78,014 miles",5,190 bhp,2015 (15),46.3,Estate,162 g/km,Firenze Red metallic,"£19,500"
81,Range Rover Evoque,Diesel,2.0L,Manual,"40,460 miles",5,148 bhp,2015 (65),65.7,Estate,113 g/km,GREEN,"£19,500"
82,Range Rover Evoque,Diesel,2.0L,Manual,"71,057 miles",5,148 bhp,2016 (66),65.7,Estate,113 g/km,BLACK,"£19,400"
83,Range Rover Evoque,Diesel,2.0L,Manual,"41,706 miles",5,148 bhp,2015 (65),65.7,Estate,113 g/km,CORRIS GREY,"£18,800"
84,Range Rover Evoque,Diesel,2.0L,Manual,"66,753 miles",3,148 bhp,2016 (16),67.3,Coupe,109 g/km,WHITE,"£18,200"
85,Discovery Sport,Diesel,2.0L,Manual,"68,743 miles",5,150 bhp,2018 (18),60.1,Estate,123 g/km,NARVIK BLACK,"£18,000"
86,Range Rover Evoque,Diesel,2.2L,Automatic,"71,251 miles",5,190 bhp,2015 (15),47.1,Estate,159 g/km,GREY,"£16,600"
