,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
107,Qashqai,Diesel,1.5L,Manual,"32,439 miles",5,108 bhp,2018 (67),74.3,Hatchback,99 g/km,BLUE,"£15,000"
108,Qashqai,Diesel,1.5L,Manual,"28,560 miles",5,114 bhp,2018 (68),53.3,Hatchback,100 g/km,BLACK,"£15,000"
109,Juke,Petrol,1.6L,Automatic,"34,364 miles",5,111 bhp,2018 (68),34.5,Hatchback,152 g/km,RED,"£15,000"
110,Qashqai,Diesel,1.5L,Manual,"37,688 miles",5,108 bhp,2018 (18),74.3,Hatchback,99 g/km,BLUE,"£15,000"
111,Qashqai,Diesel,1.5L,Manual,"30,689 miles",5,108 bhp,2017 (67),74.3,Hatchback,99 g/km,BLUE,"£15,000"
112,Juke,Petrol,1.6L,Automatic,"18,201 miles",5,117 bhp,2018 (18),47.1,Hatchback,139 g/km,BLUE,"£14,900"
113,Qashqai,Diesel,1.5L,Manual,"63,788 miles",5,108 bhp,2018 (18),74.3,Hatchback,99 g/km,GREY,"£14,800"
114,Qashqai,Diesel,1.5L,Manual,"27,921 miles",5,114 bhp,2018 (68),53.3,Hatchback,100 g/km,RED,"£14,500"
115,Juke,Petrol,1.6L,Automatic,"21,780 miles",5,117 bhp,2018 (18),47.1,Hatchback,139 g/km,BLUE,"£14,200"
116,Qashqai,Diesel,1.5L,Manual,"66,990 miles",5,108 bhp,2018 (18),74.3,Hatchback,99 g/km,GREY,"£14,200"
117,Qashqai,Diesel,1.5L,Manual,"47,089 miles",5,108 bhp,2016 (16),74.3,Hatchback,103 g/km,RED,"£13,900"
118,Qashqai,Diesel,1.6L,Manual,"54,102 miles",5,128 bhp,2016 (16),57.7,Hatchback,133 g/km,WHITE,"£13,800"
119,Juke,Petrol,1.6L,Automatic,"6,781 miles",5,111 bhp,2018 (68),35.8,Hatchback,149 g/km,GREY,"£13,800"
120,Juke,Petrol,1.2L,Manual,"6,088 miles",5,115 bhp,2018 (18),49.6,Hatchback,128 g/km,WHITE,"£13,700"
121,Qashqai,Diesel,1.5L,Manual,"29,922 miles",5,108 bhp,2017 (17),74.3,Hatchback,103 g/km,BLUE,"£13,500"
122,Juke,Petrol,1.6L,Manual,"18,130 miles",5,111 bhp,2018 (68),34.0,Hatchback,164 g/km,BLACK,"£13,000"
123,Juke,Petrol,1.6L,Manual,"36,479 miles",5,111 bhp,2019 (68),34.5,Hatchback,161 g/km,BLUE,"£12,700"
124,Juke,Petrol,1.6L,Manual,"36,657 miles",5,111 bhp,2019 (68),34.5,Hatchback,161 g/km,RED,"£12,600"
125,Juke,Petrol,1.2L,Manual,"17,640 miles",5,115 bhp,2018 (68),49.6,Hatchback,128 g/km,BLUE,"£12,500"
126,Juke,Petrol,1.6L,Manual,"40,336 miles",5,111 bhp,2019 (68),34.5,Hatchback,161 g/km,WHITE,"£12,452"
