,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
222,Passat,Diesel,2.0L,Automatic,"88,179 miles",5,148 bhp,2016 (16),60.1,Estate,122 g/km,WHITE,"£14,000"
223,Tiguan,Diesel,2.0L,Automatic,"78,125 miles",5,148 bhp,2016 (65),49.6,Estate,150 g/km,WHITE,"£13,800"
224,Passat,Diesel,2.0L,Automatic,"41,226 miles",4,148 bhp,2015 (65),62.8,Saloon,119 g/km,DEEP BLACK PEARL,"£13,800"
225,Golf,Diesel,1.6L,Manual,"52,687 miles",5,114 bhp,2017 (17),61.4,Hatchback,106 g/km,WHITE,"£13,750"
226,Polo,Petrol,1.0L,Manual,"8,129 miles",5,94 bhp,2018 (18),64.2,Hatchback,101 g/km,WHITE,"£13,750"
227,Passat,Diesel,1.6L,Manual,"53,132 miles",5,118 bhp,2017 (17),68.9,Estate,107 g/km,BLACK,"£13,700"
228,Passat,Diesel,1.6L,Manual,"40,244 miles",5,118 bhp,2016 (66),68.9,Estate,107 g/km,GREY,"£13,700"
229,Polo,Petrol,1.0L,Manual,"13,734 miles",5,94 bhp,2019 (68),52.3,Hatchback,104 g/km,FLASH RED,"£13,700"
230,Golf,Petrol,1.5L,Manual,"65,899 miles",5,128 bhp,2018 (18),58.9,Estate,113 g/km,GREY,"£13,700"
231,Polo,Petrol,1.0L,Manual,"23,419 miles",5,94 bhp,2018 (68),52.3,Hatchback,104 g/km,BLACK,"£13,500"
232,Passat,Diesel,1.6L,Manual,"71,198 miles",4,118 bhp,2017 (17),67.3,Saloon,109 g/km,SILVER,"£13,500"
233,Polo,Petrol,1.0L,Manual,"19,170 miles",5,94 bhp,2018 (68),64.2,Hatchback,101 g/km,GREY,"£13,500"
234,Golf,Petrol,1.4L,Manual,"68,585 miles",5,148 bhp,2016 (66),60.1,Hatchback,109 g/km,GREY,"£13,300"
235,Polo,Petrol,1.0L,Manual,"29,210 miles",5,94 bhp,2018 (18),64.2,Hatchback,101 g/km,WHITE,"£13,200"
236,Polo,Diesel,1.6L,Manual,"30,339 miles",5,79 bhp,2018 (18),76.4,Hatchback,97 g/km,BLACK,"£13,200"
237,Polo,Petrol,1.0L,Manual,"10,756 miles",5,64 bhp,2018 (68),60.1,Hatchback,108 g/km,BLACK,"£13,100"
238,Polo,Petrol,1.0L,Manual,"24,860 miles",5,94 bhp,2018 (18),64.2,Hatchback,101 g/km,WHITE,"£13,100"
239,Polo,Petrol,1.0L,Manual,"41,224 miles",5,94 bhp,2018 (18),62.8,Hatchback,103 g/km,DEEP BLACK PEARL,"£13,100"
240,Polo,Petrol,1.0L,Manual,"9,248 miles",5,74 bhp,2018 (68),60.1,Hatchback,108 g/km,GREY,"£13,000"
241,Polo,Petrol,1.0L,Manual,"20,369 miles",5,94 bhp,2018 (68),64.2,Hatchback,101 g/km,GREY,"£13,000"
