,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
394,A Class,Diesel,2.1L,Manual,"21,761 miles",5,134 bhp,2018 (18),65.7,Hatchback,111 g/km,GREY,"£18,300"
395,C Class,Diesel,2.1L,Automatic,"35,466 miles",4,170 bhp,2017 (66),64.2,Saloon,109 g/km,SILVER,"£18,300"
396,A Class,Diesel,2.1L,Automatic,"32,215 miles",5,134 bhp,2017 (17),68.9,Hatchback,108 g/km,SILVER,"£18,300"
397,C Class,Diesel,2.1L,Automatic,"40,143 miles",4,170 bhp,2015 (65),64.2,Saloon,113 g/km,BLACK,"£18,300"
398,C Class,Diesel,2.1L,Automatic,"40,358 miles",4,170 bhp,2016 (66),65.7,Saloon,109 g/km,BLACK,"£18,300"
399,A Class,Diesel,2.1L,Automatic,"36,875 miles",5,134 bhp,2017 (67),68.9,Hatchback,108 g/km,BLUE,"£18,200"
400,A Class,Diesel,1.5L,Automatic,"26,939 miles",5,107 bhp,2018 (18),74.3,Hatchback,101 g/km,BLUE,"£18,200"
401,A Class,Diesel,2.1L,Automatic,"53,184 miles",5,134 bhp,2016 (65),68.9,Hatchback,108 g/km,WHITE,"£18,100"
402,A Class,Diesel,2.1L,Manual,"24,608 miles",5,134 bhp,2017 (67),62.8,Hatchback,116 g/km,WHITE,"£18,100"
403,A Class,Diesel,1.5L,Automatic,"32,318 miles",5,107 bhp,2017 (67),74.3,Hatchback,101 g/km,BLACK,"£18,100"
404,Gla,Diesel,2.1L,Automatic,"55,849 miles",5,134 bhp,2015 (65),55.4,Estate,132 g/km,WHITE,"£18,000"
405,A Class,Diesel,1.5L,Manual,"32,926 miles",5,107 bhp,2017 (17),68.9,Hatchback,107 g/km,BLACK,"£18,000"
406,C Class,Diesel,2.1L,Automatic,"62,562 miles",5,170 bhp,2017 (17),60.1,Estate,120 g/km,BLUE,"£18,000"
407,A Class,Diesel,2.1L,Automatic,"50,001 miles",5,134 bhp,2017 (67),68.9,Hatchback,108 g/km,GREY,"£17,900"
408,C Class,Petrol,2.0L,Manual,"75,756 miles",2,181 bhp,2017 (67),53.3,Coupe,123 g/km,BLUE,"£17,900"
409,A Class,Diesel,2.1L,Manual,"29,555 miles",5,134 bhp,2016 (16),62.8,Hatchback,116 g/km,BLUE,"£17,900"
410,Cla Class,Petrol,1.6L,Manual,"52,496 miles",4,121 bhp,2018 (68),51.4,Saloon,152 g/km,WHITE,"£17,900"
411,A Class,Diesel,1.5L,Automatic,"24,015 miles",5,107 bhp,2017 (67),74.3,Hatchback,101 g/km,WHITE,"£17,850"
412,C Class,Diesel,2.1L,Automatic,"71,353 miles",4,170 bhp,2017 (17),61.4,Saloon,117 g/km,SILVER,"£17,850"
413,CLS,Diesel,2.1L,Automatic,"65,259 miles",4,174 bhp,2015 (15),56.5,Coupe,129 g/km,BLACK,"£17,800"
414,A Class,Diesel,2.1L,Manual,"44,312 miles",5,134 bhp,2017 (17),62.8,Hatchback,116 g/km,WHITE,"£17,800"
415,C Class,Diesel,2.1L,Manual,"47,921 miles",4,170 bhp,2016 (65),68.9,Saloon,106 g/km,WHITE,"£17,800"
416,E Class,Diesel,2.0L,Automatic,"87,183 miles",4,191 bhp,2017 (17),72.4,Saloon,102 g/km,BLACK,"£17,800"
417,A Class,Petrol,1.6L,Automatic,"37,096 miles",5,102 bhp,2018 (67),53.3,Hatchback,124 g/km,BLACK,"£17,800"
418,A Class,Petrol,1.6L,Manual,"3,836 miles",5,102 bhp,2018 (18),51.4,Hatchback,126 g/km,WHITE,"£17,700"
419,Gla Class,Diesel,2.1L,Automatic,"33,657 miles",5,136 bhp,2015 (15),62.8,Estate,119 g/km,WHITE,"£17,600"
420,A Class,Diesel,1.5L,Manual,"57,848 miles",5,107 bhp,2016 (65),68.9,Hatchback,107 g/km,WHITE,"£17,600"
421,A Class,Diesel,2.1L,Automatic,"50,200 miles",5,174 bhp,2016 (16),67.3,Hatchback,109 g/km,WHITE,"£17,600"
422,A Class,Diesel,1.5L,Automatic,"37,565 miles",5,107 bhp,2018 (18),74.3,Hatchback,101 g/km,BLACK,"£17,600"
423,Gla Class,Diesel,2.1L,Automatic,"43,700 miles",5,168 bhp,2014 (64),55.4,Estate,132 g/km,GREY,"£17,600"
424,A Class,Diesel,1.5L,Manual,"32,193 miles",5,107 bhp,2017 (17),68.9,Hatchback,107 g/km,BLACK,"£17,550"
425,A Class,Diesel,1.5L,Automatic,"56,557 miles",5,114 bhp,2018 (68),68.9,Hatchback,108 g/km,WHITE,"£17,500"
426,A Class,Diesel,2.1L,Automatic,"53,497 miles",5,134 bhp,2017 (17),68.9,Hatchback,108 g/km,GREY,"£17,500"
427,A Class,Diesel,2.1L,Automatic,"36,408 miles",5,134 bhp,2016 (66),68.9,Hatchback,108 g/km,GREY,"£17,500"
428,A Class,Petrol,1.6L,Manual,"15,466 miles",5,102 bhp,2017 (17),51.4,Hatchback,126 g/km,GREY,"£17,500"
429,A Class,Diesel,1.5L,Manual,"20,662 miles",5,107 bhp,2016 (16),68.9,Hatchback,107 g/km,BLACK,"£17,500"
430,A Class,Diesel,1.5L,Manual,"31,892 miles",5,107 bhp,2017 (67),68.9,Hatchback,107 g/km,WHITE,"£17,500"
431,A Class,Diesel,2.1L,Automatic,"34,734 miles",5,134 bhp,2016 (65),68.9,Hatchback,108 g/km,BLACK,"£17,500"
432,A Class,Petrol,1.6L,Manual,"16,806 miles",5,121 bhp,2017 (67),50.4,Hatchback,131 g/km,WHITE,"£17,500"
433,Gla Class,Diesel,2.1L,Manual,"43,237 miles",5,134 bhp,2016 (16),64.2,Estate,115 g/km,BLACK,"£17,400"
434,C Class,Diesel,2.1L,Automatic,"55,046 miles",4,170 bhp,2016 (66),64.2,Saloon,109 g/km,GREY,"£17,400"
435,Gla Class,Diesel,2.1L,Automatic,"57,529 miles",5,168 bhp,2015 (15),55.4,Estate,132 g/km,SOUTH SEAS BLUE,"£17,300"
436,A Class,Diesel,1.5L,Manual,"35,099 miles",5,107 bhp,2017 (17),68.9,Hatchback,107 g/km,WHITE,"£17,300"
437,A Class,Diesel,2.1L,Manual,"30,090 miles",5,134 bhp,2017 (17),62.8,Hatchback,116 g/km,WHITE,"£17,200"
438,Gla Class,Diesel,2.1L,Automatic,"55,600 miles",5,174 bhp,2015 (65),56.5,Estate,130 g/km,BLACK,"£17,100"
439,A Class,Petrol,1.6L,Automatic,"50,215 miles",5,102 bhp,2018 (18),55.4,Hatchback,119 g/km,SILVER,"£17,100"
440,A Class,Diesel,2.1L,Automatic,"38,745 miles",5,134 bhp,2017 (17),68.9,Hatchback,108 g/km,SILVER,"£17,100"
441,A Class,Petrol,1.6L,Manual,"30,050 miles",5,102 bhp,2018 (18),51.4,Hatchback,126 g/km,BLACK,"£17,100"
442,A Class,Diesel,2.1L,Manual,"27,862 miles",5,134 bhp,2017 (66),62.8,Hatchback,116 g/km,WHITE,"£17,000"
443,A Class,Diesel,2.1L,Manual,"34,951 miles",5,134 bhp,2016 (16),62.8,Hatchback,116 g/km,MAUVE/PURPLE,"£17,000"
444,Cla Class,Diesel,2.1L,Manual,"76,782 miles",4,134 bhp,2017 (17),67.3,Saloon,109 g/km,WHITE,"£17,000"
445,A Class,Diesel,2.1L,Automatic,"50,725 miles",5,134 bhp,2015 (65),68.9,Hatchback,108 g/km,BLACK,"£17,000"
446,E Class,Diesel,2.1L,Automatic,"55,131 miles",2,174 bhp,2016 (16),56.5,Convertible,131 g/km,GREY,"£17,000"
447,A Class,Diesel,1.5L,Manual,"29,142 miles",5,107 bhp,2018 (18),80.7,Hatchback,89 g/km,WHITE,"£17,000"
448,A Class,Petrol,1.6L,Automatic,"25,497 miles",5,121 bhp,2016 (66),52.3,Hatchback,126 g/km,SILVER,"£17,000"
449,A Class,Petrol,1.6L,Manual,"38,457 miles",5,121 bhp,2018 (18),50.4,Hatchback,131 g/km,WHITE,"£17,000"
450,A Class,Diesel,1.5L,Manual,"33,012 miles",5,107 bhp,2017 (67),68.9,Hatchback,107 g/km,WHITE,"£17,000"
451,A Class,Diesel,2.1L,Manual,"27,539 miles",5,134 bhp,2017 (67),62.8,Hatchback,116 g/km,WHITE,"£17,000"
452,A Class,Petrol,1.6L,Manual,"37,445 miles",5,121 bhp,2017 (67),50.4,Hatchback,131 g/km,SILVER,"£16,950"
453,A Class,Diesel,2.1L,Manual,"50,018 miles",5,134 bhp,2017 (67),62.8,Hatchback,116 g/km,BLACK,"£16,900"
454,A Class,Diesel,1.5L,Manual,"45,467 miles",5,107 bhp,2017 (67),68.9,Hatchback,107 g/km,BLACK,"£16,900"
455,A Class,Diesel,2.1L,Automatic,"44,825 miles",5,134 bhp,2016 (16),68.9,Hatchback,108 g/km,BLUE,"£16,900"
